Query	Chromosome	Start	End	Score
OM829102.1	JAILWY010000009.1	2571985	2572649	540.0
OM829101.1	JAILWY010000009.1	2571987	2572649	512.0
OM829100.1	JAILWY010000009.1	2571987	2572649	523.0
OM829099.1	JAILWY010000009.1	2571987	2572649	523.0
OM829098.1	JAILWY010000009.1	2571987	2572649	516.0
OM829097.1	JAILWY010000009.1	2571987	2572649	518.0
OM829096.1	JAILWY010000009.1	2571985	2572649	525.0
OM829095.1	JAILWY010000009.1	2571986	2572649	512.0
OM829093.1	JAILWY010000009.1	2571985	2572649	532.0
OM829092.1	JAILWY010000009.1	2571985	2572649	536.0
OM829091.1	JAILWY010000009.1	2571985	2572649	518.0
OM829090.1	JAILWY010000009.1	2571987	2572649	518.0
OM829089.1	JAILWY010000009.1	2571987	2572649	532.0
OM829088.1	JAILWY010000009.1	2571987	2572649	516.0
OM829087.1	JAILWY010000009.1	2571987	2572649	520.0
OM829086.1	JAILWY010000009.1	2571985	2572649	518.0
OM829085.1	JAILWY010000009.1	2571985	2572649	518.0
OM829084.1	JAILWY010000009.1	2572004	2572649	488.0
OM829083.1	JAILWY010000009.1	2571985	2572649	529.0
OM829082.1	JAILWY010000009.1	2571987	2572649	520.0
OM829081.1	JAILWY010000009.1	2571987	2572649	518.0
OM829080.1	JAILWY010000009.1	2571987	2572649	521.0
OM829079.1	JAILWY010000009.1	2571988	2572649	518.0
OM829078.1	JAILWY010000009.1	2571985	2572649	531.0
OM829077.1	JAILWY010000009.1	2571986	2572649	516.0
OM829076.1	JAILWY010000009.1	2571985	2572649	518.0
OM829073.1	JAILWY010000009.1	2571987	2572649	520.0
OM829072.1	JAILWY010000009.1	2571985	2572649	532.0
OM829071.1	JAILWY010000009.1	2571985	2572649	529.0
OM829070.1	JAILWY010000009.1	2571986	2572649	516.0
OM829069.1	JAILWY010000009.1	2571987	2572649	531.0
OM829068.1	JAILWY010000009.1	2571988	2572649	508.0
OM829067.1	JAILWY010000009.1	2572021	2572649	475.0
OM829066.1	JAILWY010000009.1	2571985	2572649	542.0
OM829065.1	JAILWY010000009.1	2571986	2572649	523.0
OM829064.1	JAILWY010000009.1	2571987	2572649	510.0
OM829063.1	JAILWY010000009.1	2571987	2572649	534.0
OM829062.1	JAILWY010000009.1	2571987	2572649	529.0
OM829061.1	JAILWY010000009.1	2571985	2572649	520.0
OM829060.1	JAILWY010000009.1	2571987	2572649	483.0
OM829059.1	JAILWY010000009.1	2571985	2572649	532.0
OM829058.1	JAILWY010000009.1	2571987	2572649	464.0
OM829054.1	JAILWY010000009.1	2571985	2572649	625.0
OM829053.1	JAILWY010000009.1	2571989	2572649	641.0
OM829052.1	JAILWY010000009.1	2571990	2572649	649.0
OM829051.1	JAILWY010000009.1	2571985	2572617	564.0
OM829044.1	JAILWY010000009.1	2571989	2572649	518.0
OM829043.1	JAILWY010000009.1	2571989	2572649	523.0
OM829042.1	JAILWY010000009.1	2571987	2572649	549.0
OM829040.1	JAILWY010000009.1	2571987	2572649	536.0
OM829039.1	JAILWY010000009.1	2571987	2572649	544.0
OM829038.1	JAILWY010000009.1	2571987	2572649	520.0
OM829037.1	JAILWY010000009.1	2571987	2572649	555.0
OM829036.1	JAILWY010000009.1	2571985	2572649	553.0
OM829035.1	JAILWY010000009.1	2571985	2572649	536.0
OM829033.1	JAILWY010000009.1	2571986	2572644	558.0
OM829032.1	JAILWY010000009.1	2571986	2572644	564.0
OM829031.1	JAILWY010000009.1	2571987	2572659	523.0
OM829030.1	JAILWY010000009.1	2571987	2572566	518.0
OM829029.1	JAILWY010000009.1	2571987	2572649	571.0
OM829026.1	JAILWY010000009.1	2571987	2572649	547.0
OM829001.1	JAILWY010000009.1	2571987	2572649	555.0
OM828999.1	JAILWY010000009.1	2571987	2572649	560.0
OM828998.1	JAILWY010000009.1	2571985	2572649	551.0
OM828997.1	JAILWY010000009.1	2571985	2572649	553.0
OM828996.1	JAILWY010000009.1	2571988	2572649	544.0
OM828995.1	JAILWY010000009.1	2571987	2572649	556.0
OM828994.1	JAILWY010000009.1	2571985	2572649	547.0
OM828993.1	JAILWY010000009.1	2571987	2572649	544.0
OM828991.1	JAILWY010000009.1	2571987	2572649	538.0
OM828990.1	JAILWY010000009.1	2571985	2572649	542.0
OM828989.1	JAILWY010000009.1	2571987	2572649	531.0
OM828988.1	JAILWY010000009.1	2571987	2572649	534.0
OM828987.1	JAILWY010000009.1	2571985	2572649	547.0
OM828969.1	JAILWY010000009.1	2571986	2572649	531.0
OM828968.1	JAILWY010000009.1	2571987	2572649	510.0
OM828967.1	JAILWY010000009.1	2571986	2572649	518.0
OM828966.1	JAILWY010000009.1	2571986	2572649	525.0
OM828965.1	JAILWY010000009.1	2571986	2572649	531.0
OM828964.1	JAILWY010000009.1	2571986	2572649	527.0
OM828963.1	JAILWY010000009.1	2571986	2572649	531.0
OM828962.1	JAILWY010000009.1	2571986	2572649	525.0
OM828960.1	JAILWY010000009.1	2571986	2572649	529.0
OM828956.1	JAILWY010000009.1	2571986	2572649	520.0
OM828938.1	JAILWY010000009.1	2571987	2572649	540.0
OM828937.1	JAILWY010000009.1	2571985	2572644	488.0
OM828936.1	JAILWY010000009.1	2571985	2572644	540.0
OM828935.1	JAILWY010000009.1	2571987	2572644	534.0
OM828933.1	JAILWY010000009.1	2571987	2572644	534.0
OM828932.1	JAILWY010000009.1	2571987	2572644	534.0
OM828930.1	JAILWY010000009.1	2571987	2572644	518.0
OM828929.1	JAILWY010000009.1	2571985	2572644	525.0
OM828928.1	JAILWY010000009.1	2571985	2572649	520.0
OM828927.1	JAILWY010000009.1	2571985	2572649	525.0
OM828926.1	JAILWY010000009.1	2571987	2572649	527.0
OM828925.1	JAILWY010000009.1	2571987	2572649	527.0
OM828924.1	JAILWY010000009.1	2571987	2572649	534.0
MN211350.1	JAILWY010000003.1	5931183	5931288	119.0
XM_026444323.1	JAILWY010000015.1	2062354	2062412	82.4
XM_026444299.1	JAILWY010000015.1	2062354	2062412	82.4
XM_026444266.1	JAILWY010000015.1	2062354	2062412	82.4
XM_026444205.1	JAILWY010000015.1	2062354	2062412	82.4
XM_026444168.1	JAILWY010000015.1	2062354	2062412	82.4
XM_016916410.2	JAILWY010000015.1	2062354	2062412	82.4
XM_016916411.2	JAILWY010000015.1	2062354	2062412	82.4
MN535016.1	JAILWY010000009.1	2571865	2572765	789.0
EU329144.1	JAILWY010000009.1	2571946	2572548	460.0
EU329143.1	JAILWY010000009.1	2571949	2572548	671.0
EU329141.1	JAILWY010000009.1	2571949	2572548	654.0
EU329131.1	JAILWY010000009.1	2571949	2572548	595.0
EU329123.1	JAILWY010000009.1	2571949	2572548	564.0
EU329119.1	JAILWY010000009.1	2571949	2572548	610.0
EU329115.1	JAILWY010000009.1	2571949	2572548	651.0
EU329114.1	JAILWY010000009.1	2571949	2572548	667.0
EU329113.1	JAILWY010000009.1	2571949	2572548	667.0
EU329112.1	JAILWY010000009.1	2571949	2572548	630.0
AY526607.1	JAILWY010000025.1	2068256	2068325	97.1
KU671662.1	JAILWY010000009.1	2572231	2572578	339.0
GQ851626.1	JAILWY010000009.1	2571862	2572731	782.0
KC262642.1	JAILWY010000009.1	2571862	2572766	880.0
JQ088102.1	JAILWY010000009.1	2571862	2572764	555.0
HQ214154.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214153.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214152.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214151.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214150.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214149.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214148.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214147.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214146.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214145.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214144.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214143.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214142.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214141.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214140.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214138.1	JAILWY010000009.1	2571865	2572765	773.0
HQ214137.1	JAILWY010000009.1	2571865	2572765	778.0
HQ214136.1	JAILWY010000009.1	2571865	2572765	767.0
JN655170.1	JAILWY010000009.1	2571865	2572731	765.0
U20757.1	JAILWY010000028.1	5135366	5135440	84.2
AF167313.1	JAILWY010000009.1	2571865	2572758	732.0
AF233355.1	JAILWY010000009.1	2571865	2572758	804.0
AF071211.1	JAILWY010000020.1	317450	317526	110.0
AF071210.1	JAILWY010000009.1	4249355	4249595	207.0
EU259815.1	JAILWY010000018.1	2067994	2068251	222.0
EU259815.1	JAILWY010000018.1	2069505	2069558	67.6
OL175089.1	JAILWY010000009.1	2572097	2572455	359.0
OL175087.1	JAILWY010000009.1	2572094	2572497	320.0
OL175083.1	JAILWY010000009.1	2572121	2572464	337.0
OL175080.1	JAILWY010000009.1	2572094	2572497	381.0
OL175077.1	JAILWY010000009.1	2572094	2572497	348.0
OL175074.1	JAILWY010000009.1	2572094	2572497	292.0
OL175059.1	JAILWY010000009.1	2572111	2572497	394.0
OL175058.1	JAILWY010000009.1	2572094	2572497	398.0
OL175057.1	JAILWY010000009.1	2572094	2572497	425.0
OL175054.1	JAILWY010000009.1	2572111	2572497	327.0
OL175052.1	JAILWY010000009.1	2572094	2572497	431.0
OL175046.1	JAILWY010000009.1	2572094	2572497	298.0
OL175017.1	JAILWY010000009.1	2572094	2572497	375.0
OL175009.1	JAILWY010000009.1	2572094	2572497	448.0
OL175008.1	JAILWY010000009.1	2572094	2572497	387.0
OL175005.1	JAILWY010000009.1	2572094	2572497	348.0
OL174997.1	JAILWY010000009.1	2572094	2572497	370.0
OL174991.1	JAILWY010000009.1	2572094	2572497	375.0
OL174990.1	JAILWY010000009.1	2572094	2572497	364.0
OL174988.1	JAILWY010000009.1	2572094	2572497	342.0
OL174987.1	JAILWY010000009.1	2572094	2572497	331.0
OL174982.1	JAILWY010000009.1	2572094	2572497	370.0
OL174977.1	JAILWY010000009.1	2572094	2572497	348.0
OL174974.1	JAILWY010000009.1	2572094	2572494	370.0
OL174973.1	JAILWY010000009.1	2572094	2572497	390.0
OL174958.1	JAILWY010000009.1	2572094	2572497	398.0
OL174952.1	JAILWY010000009.1	2572094	2572497	331.0
OL174915.1	JAILWY010000009.1	2572094	2572497	298.0
OL174908.1	JAILWY010000009.1	2572094	2572491	353.0
OL174906.1	JAILWY010000009.1	2572094	2572497	364.0
OL174899.1	JAILWY010000009.1	2572094	2572497	392.0
OL174898.1	JAILWY010000009.1	2572094	2572497	425.0
OL174896.1	JAILWY010000009.1	2572094	2572497	414.0
OL174892.1	JAILWY010000009.1	2572094	2572497	359.0
OL174885.1	JAILWY010000009.1	2572094	2572497	370.0
OL174882.1	JAILWY010000009.1	2572094	2572494	392.0
OL174875.1	JAILWY010000009.1	2572094	2572497	392.0
OL174868.1	JAILWY010000009.1	2572111	2572497	255.0
OL174866.1	JAILWY010000009.1	2572094	2572497	409.0
OL174864.1	JAILWY010000009.1	2572094	2572497	370.0
OL174862.1	JAILWY010000009.1	2572094	2572497	320.0
OL174857.1	JAILWY010000009.1	2572094	2572482	381.0
OL174856.1	JAILWY010000009.1	2572094	2572482	392.0
OL174852.1	JAILWY010000009.1	2572094	2572494	348.0
OL174850.1	JAILWY010000009.1	2572094	2572497	370.0
OL174849.1	JAILWY010000009.1	2572094	2572497	403.0
OL174848.1	JAILWY010000009.1	2572094	2572497	381.0
OL174847.1	JAILWY010000009.1	2572094	2572497	414.0
OL174844.1	JAILWY010000009.1	2572094	2572497	348.0
OL174843.1	JAILWY010000009.1	2572094	2572494	337.0
OL174839.1	JAILWY010000009.1	2572094	2572497	370.0
OL174838.1	JAILWY010000009.1	2572094	2572497	414.0
OL174829.1	JAILWY010000009.1	2572094	2572497	337.0
OL174828.1	JAILWY010000009.1	2572094	2572497	315.0
OL174826.1	JAILWY010000009.1	2572094	2572497	353.0
OL174825.1	JAILWY010000009.1	2572094	2572497	337.0
OL174824.1	JAILWY010000009.1	2572094	2572497	265.0
OL174821.1	JAILWY010000009.1	2572094	2572497	370.0
OL174809.1	JAILWY010000009.1	2572094	2572497	337.0
OL174808.1	JAILWY010000009.1	2572094	2572497	342.0
OL174807.1	JAILWY010000009.1	2572094	2572497	392.0
OL174802.1	JAILWY010000009.1	2572094	2572497	409.0
OL174800.1	JAILWY010000009.1	2572094	2572497	364.0
OL174799.1	JAILWY010000009.1	2572094	2572497	425.0
OL174798.1	JAILWY010000009.1	2572094	2572497	401.0
OL174797.1	JAILWY010000009.1	2572094	2572395	254.0
OL174796.1	JAILWY010000009.1	2572094	2572497	303.0
OL174793.1	JAILWY010000009.1	2572094	2572497	348.0
OL174792.1	JAILWY010000009.1	2572094	2572497	348.0
OL174791.1	JAILWY010000009.1	2572094	2572497	331.0
OL174790.1	JAILWY010000009.1	2572094	2572497	281.0
OL174789.1	JAILWY010000009.1	2572094	2572497	303.0
OL174786.1	JAILWY010000009.1	2572094	2572497	392.0
OL174784.1	JAILWY010000009.1	2572094	2572497	359.0
OL174783.1	JAILWY010000009.1	2572094	2572482	375.0
OL174782.1	JAILWY010000009.1	2572094	2572482	315.0
OL174779.1	JAILWY010000009.1	2572094	2572497	337.0
OL174769.1	JAILWY010000009.1	2572094	2572479	309.0
OL174747.1	JAILWY010000009.1	2572094	2572497	353.0
OL174746.1	JAILWY010000009.1	2572094	2572497	326.0
OL174745.1	JAILWY010000009.1	2572094	2572473	287.0
OL174744.1	JAILWY010000009.1	2572094	2572497	320.0
OL174743.1	JAILWY010000009.1	2572094	2572497	364.0
OL174739.1	JAILWY010000009.1	2572111	2572497	322.0
OL174738.1	JAILWY010000009.1	2572094	2572497	403.0
OL174736.1	JAILWY010000009.1	2572094	2572497	342.0
OL174732.1	JAILWY010000009.1	2572111	2572458	217.0
OL174729.1	JAILWY010000009.1	2572094	2572497	403.0
OL174728.1	JAILWY010000009.1	2572094	2572497	375.0
OL174727.1	JAILWY010000009.1	2572094	2572482	364.0
OL174726.1	JAILWY010000009.1	2572094	2572497	348.0
OL174725.1	JAILWY010000009.1	2572094	2572497	342.0
OL174724.1	JAILWY010000009.1	2572094	2572497	392.0
OL174712.1	JAILWY010000009.1	2572094	2572497	379.0
OL174710.1	JAILWY010000009.1	2572094	2572497	403.0
OL174709.1	JAILWY010000009.1	2572094	2572497	425.0
OL174707.1	JAILWY010000009.1	2572094	2572497	414.0
OL174701.1	JAILWY010000009.1	2572111	2572497	333.0
OL174700.1	JAILWY010000009.1	2572094	2572497	326.0
OL174687.1	JAILWY010000009.1	2572094	2572497	420.0
OL174679.1	JAILWY010000009.1	2572094	2572497	398.0
OL174673.1	JAILWY010000009.1	2572094	2572497	387.0
OL174659.1	JAILWY010000009.1	2572094	2572497	359.0
OL174648.1	JAILWY010000009.1	2572094	2572497	387.0
OL174645.1	JAILWY010000009.1	2572094	2572497	370.0
OL174640.1	JAILWY010000009.1	2572094	2572482	326.0
OL174630.1	JAILWY010000009.1	2572094	2572497	259.0
OL174626.1	JAILWY010000009.1	2572094	2572497	315.0
OL174620.1	JAILWY010000009.1	2572094	2572497	398.0
OL174617.1	JAILWY010000009.1	2572094	2572497	387.0
OL174613.1	JAILWY010000009.1	2572094	2572497	364.0
OL174612.1	JAILWY010000009.1	2572094	2572497	420.0
OL174611.1	JAILWY010000009.1	2572094	2572497	403.0
OL174600.1	JAILWY010000009.1	2572094	2572497	364.0
OL174598.1	JAILWY010000009.1	2572094	2572497	409.0
OL174589.1	JAILWY010000009.1	2572094	2572497	436.0
OL174587.1	JAILWY010000009.1	2572094	2572497	420.0
OL174585.1	JAILWY010000009.1	2572094	2572497	414.0
OL174584.1	JAILWY010000009.1	2572094	2572497	403.0
OL174582.1	JAILWY010000009.1	2572094	2572497	292.0
OL174581.1	JAILWY010000009.1	2572094	2572497	375.0
OL174573.1	JAILWY010000009.1	2572094	2572497	348.0
OL174572.1	JAILWY010000009.1	2572094	2572497	387.0
OL174571.1	JAILWY010000009.1	2572094	2572497	331.0
OL174567.1	JAILWY010000009.1	2572094	2572497	337.0
OL174564.1	JAILWY010000009.1	2572094	2572497	342.0
OL174563.1	JAILWY010000009.1	2572094	2572497	392.0
OL174562.1	JAILWY010000009.1	2572094	2572497	331.0
OL174561.1	JAILWY010000009.1	2572094	2572497	392.0
OL174560.1	JAILWY010000009.1	2572094	2572497	409.0
OL174554.1	JAILWY010000009.1	2572094	2572497	359.0
OL174549.1	JAILWY010000009.1	2572094	2572497	398.0
OL174547.1	JAILWY010000009.1	2572094	2572497	364.0
OL174542.1	JAILWY010000009.1	2572094	2572497	403.0
OL174541.1	JAILWY010000009.1	2572094	2572497	414.0
OL174540.1	JAILWY010000009.1	2572094	2572497	409.0
OL174539.1	JAILWY010000009.1	2572094	2572497	403.0
OL174537.1	JAILWY010000009.1	2572094	2572497	409.0
OL174535.1	JAILWY010000009.1	2572094	2572497	431.0
OL174533.1	JAILWY010000009.1	2572094	2572494	353.0
OL174530.1	JAILWY010000009.1	2572094	2572497	370.0
OL174526.1	JAILWY010000009.1	2572094	2572497	375.0
OL174523.1	JAILWY010000009.1	2572094	2572497	375.0
OL174522.1	JAILWY010000009.1	2572094	2572491	281.0
OL174516.1	JAILWY010000009.1	2572094	2572497	403.0
OL174512.1	JAILWY010000009.1	2572094	2572497	392.0
OL174504.1	JAILWY010000009.1	2572094	2572494	337.0
OL174503.1	JAILWY010000009.1	2572094	2572494	337.0
OL174502.1	JAILWY010000009.1	2572094	2572497	387.0
OL174501.1	JAILWY010000009.1	2572094	2572497	398.0
OL174500.1	JAILWY010000009.1	2572094	2572497	398.0
OL174498.1	JAILWY010000009.1	2572094	2572497	409.0
OL174495.1	JAILWY010000009.1	2572094	2572497	364.0
OL174494.1	JAILWY010000009.1	2572094	2572497	420.0
OL174485.1	JAILWY010000009.1	2572094	2572497	364.0
OL174477.1	JAILWY010000009.1	2572094	2572497	353.0
OL174476.1	JAILWY010000009.1	2572094	2572497	387.0
OL174474.1	JAILWY010000009.1	2572094	2572497	387.0
OL174473.1	JAILWY010000009.1	2572094	2572497	387.0
OL174472.1	JAILWY010000009.1	2572094	2572497	392.0
OL174471.1	JAILWY010000009.1	2572094	2572497	381.0
OL174467.1	JAILWY010000009.1	2572094	2572497	392.0
OL174463.1	JAILWY010000009.1	2572094	2572497	364.0
OL174460.1	JAILWY010000009.1	2572094	2572497	398.0
OL174457.1	JAILWY010000009.1	2572094	2572497	403.0
OL174440.1	JAILWY010000009.1	2572094	2572497	320.0
OL174430.1	JAILWY010000009.1	2572094	2572497	292.0
OL174429.1	JAILWY010000009.1	2572094	2572497	292.0
OL174425.1	JAILWY010000009.1	2572094	2572497	381.0
OL174422.1	JAILWY010000009.1	2572094	2572497	342.0
OL174416.1	JAILWY010000009.1	2572094	2572497	331.0
OL174415.1	JAILWY010000009.1	2572094	2572497	403.0
OL174401.1	JAILWY010000009.1	2572094	2572497	364.0
OL174398.1	JAILWY010000009.1	2572094	2572497	387.0
OL174393.1	JAILWY010000009.1	2572094	2572497	320.0
OL174391.1	JAILWY010000009.1	2572094	2572497	381.0
OL174384.1	JAILWY010000009.1	2572094	2572497	381.0
OL174380.1	JAILWY010000009.1	2572094	2572497	370.0
OL174377.1	JAILWY010000009.1	2572094	2572497	353.0
OL174374.1	JAILWY010000009.1	2572094	2572497	359.0
OL174370.1	JAILWY010000009.1	2572094	2572497	298.0
OL174364.1	JAILWY010000009.1	2572094	2572497	370.0
OL174362.1	JAILWY010000009.1	2572094	2572497	364.0
OL174355.1	JAILWY010000009.1	2572094	2572497	231.0
OL174347.1	JAILWY010000009.1	2572094	2572497	303.0
OL174341.1	JAILWY010000009.1	2572094	2572476	265.0
OL174309.1	JAILWY010000009.1	2572094	2572497	331.0
OL174307.1	JAILWY010000009.1	2572094	2572497	348.0
OL174303.1	JAILWY010000009.1	2572094	2572497	392.0
OL174297.1	JAILWY010000009.1	2572094	2572497	387.0
OL174294.1	JAILWY010000009.1	2572111	2572497	355.0
OL174293.1	JAILWY010000009.1	2572094	2572497	370.0
OL174287.1	JAILWY010000009.1	2572094	2572473	315.0
OL174286.1	JAILWY010000009.1	2572094	2572497	337.0
OL174284.1	JAILWY010000009.1	2572094	2572497	342.0
OL174283.1	JAILWY010000009.1	2572094	2572497	398.0
OL174281.1	JAILWY010000009.1	2572094	2572497	298.0
OL174280.1	JAILWY010000009.1	2572094	2572497	409.0
OL174279.1	JAILWY010000009.1	2572094	2572497	409.0
OL174278.1	JAILWY010000009.1	2572094	2572497	409.0
OL174277.1	JAILWY010000009.1	2572094	2572497	403.0
OL174276.1	JAILWY010000009.1	2572094	2572497	425.0
OL174274.1	JAILWY010000009.1	2572094	2572497	353.0
OL174273.1	JAILWY010000009.1	2572094	2572497	403.0
OL174267.1	JAILWY010000009.1	2572094	2572497	287.0
OL174266.1	JAILWY010000009.1	2572094	2572497	387.0
OL174265.1	JAILWY010000009.1	2572094	2572491	320.0
OL174264.1	JAILWY010000009.1	2572094	2572497	387.0
OL174263.1	JAILWY010000009.1	2572094	2572497	381.0
OL174261.1	JAILWY010000009.1	2572094	2572497	326.0
OL174260.1	JAILWY010000009.1	2572094	2572497	403.0
OL174259.1	JAILWY010000009.1	2572094	2572497	398.0
OL174257.1	JAILWY010000009.1	2572094	2572497	398.0
OL174255.1	JAILWY010000009.1	2572094	2572497	414.0
OL174245.1	JAILWY010000009.1	2572094	2572497	375.0
OL174239.1	JAILWY010000009.1	2572094	2572497	392.0
OL174233.1	JAILWY010000009.1	2572094	2572497	327.0
OL174230.1	JAILWY010000009.1	2572094	2572497	355.0
OL174227.1	JAILWY010000009.1	2572094	2572497	387.0
OL174226.1	JAILWY010000009.1	2572094	2572497	359.0
OL174218.1	JAILWY010000009.1	2572094	2572497	392.0
OL174215.1	JAILWY010000009.1	2572094	2572497	403.0
OL174213.1	JAILWY010000009.1	2572094	2572497	381.0
OL174210.1	JAILWY010000009.1	2572094	2572497	359.0
OL174206.1	JAILWY010000009.1	2572094	2572497	375.0
OL174205.1	JAILWY010000009.1	2572094	2572497	320.0
OL174183.1	JAILWY010000009.1	2572094	2572497	392.0
OL174182.1	JAILWY010000009.1	2572094	2572494	237.0
OL174181.1	JAILWY010000009.1	2572094	2572497	320.0
OL174178.1	JAILWY010000009.1	2572094	2572497	309.0
OL174174.1	JAILWY010000009.1	2572094	2572497	348.0
OL174173.1	JAILWY010000009.1	2572094	2572497	414.0
OL174165.1	JAILWY010000009.1	2572094	2572497	388.0
OL174164.1	JAILWY010000009.1	2572094	2572497	364.0
OL174163.1	JAILWY010000009.1	2572094	2572497	398.0
OL174162.1	JAILWY010000009.1	2572094	2572497	392.0
OL174161.1	JAILWY010000009.1	2572094	2572494	387.0
OL174159.1	JAILWY010000009.1	2572094	2572497	387.0
OL174158.1	JAILWY010000009.1	2572094	2572497	392.0
OL174156.1	JAILWY010000009.1	2572094	2572497	420.0
OL174152.1	JAILWY010000009.1	2572094	2572497	420.0
OL174149.1	JAILWY010000009.1	2572094	2572497	342.0
OL174143.1	JAILWY010000009.1	2572094	2572497	359.0
OL174140.1	JAILWY010000009.1	2572094	2572497	431.0
