gene_id,gene_start,gene_end,kinase_chromosome,kinase_start,kinase_end,kinase_query
JAILWY010000001.1.g391,7124225,7128315,JAILWY010000001.1,7127199,7127254,GAMC01014225.1
JAILWY010000001.1.g391,7124225,7128315,JAILWY010000001.1,7127199,7127254,GAMC01014226.1
JAILWY010000001.1.g391,7124225,7128315,JAILWY010000001.1,7127199,7127254,GAMC01014228.1
JAILWY010000001.1.g391,7124225,7128315,JAILWY010000001.1,7127199,7127254,GAMC01014229.1
JAILWY010000001.1.g391,7124225,7128315,JAILWY010000001.1,7127199,7127254,GAMC01014230.1
JAILWY010000001.1.g391,7124225,7128315,JAILWY010000001.1,7127199,7127254,GAMC01014231.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OE840669.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OC316603.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OB793462.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OD566052.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OC001774.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OA564712.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OE180424.1
JAILWY010000001.1.g399,7199696,7214970,JAILWY010000001.1,7211407,7211434,OD000928.1
JAILWY010000001.1.g435,8733347,8737190,JAILWY010000001.1,8734756,8734815,MA357048.1
JAILWY010000001.1.g435,8733347,8737190,JAILWY010000001.1,8734756,8734815,LF945326.1
JAILWY010000001.1.g486,10205450,10213451,JAILWY010000001.1,10208740,10208785,OB792739.1
JAILWY010000001.1.g486,10205450,10213451,JAILWY010000001.1,10208740,10208818,OC317036.1
JAILWY010000001.1.g488,10215182,10231389,JAILWY010000001.1,10220936,10221053,GDIP01105374.1
JAILWY010000001.1.g488,10215182,10231389,JAILWY010000001.1,10221031,10221059,GDHC01001013.1
JAILWY010000001.1.g488,10215182,10231389,JAILWY010000001.1,10221031,10221059,GDHC01015048.1
JAILWY010000001.1.g488,10215182,10231389,JAILWY010000001.1,10221031,10221059,GDHC01022015.1
JAILWY010000001.1.g664,14807963,14821387,JAILWY010000001.1,14820273,14820325,OB792739.1
JAILWY010000001.1.g664,14807963,14821387,JAILWY010000001.1,14820272,14820318,OC317036.1
JAILWY010000001.1.g679,15134950,15137387,JAILWY010000001.1,15137308,15137361,OE843976.1
JAILWY010000001.1.g733,16056492,16057241,JAILWY010000001.1,16057112,16057213,GEGO01006375.1
JAILWY010000001.1.g733,16056492,16057241,JAILWY010000001.1,16057112,16057213,GEFM01003729.1
JAILWY010000001.1.g785,17209377,17243769,JAILWY010000001.1,17218881,17218942,OD566034.1
JAILWY010000001.1.g785,17209377,17243769,JAILWY010000001.1,17218881,17218942,OE002708.1
JAILWY010000002.1.g814,277677,290611,JAILWY010000002.1,279252,279433,OA564665.1
JAILWY010000002.1.g814,277677,290611,JAILWY010000002.1,279252,279433,OB792871.1
JAILWY010000002.1.g814,277677,290611,JAILWY010000002.1,279252,279433,OD564380.1
JAILWY010000002.1.g814,277677,290611,JAILWY010000002.1,279252,279433,OC000182.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394156,OB792651.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394156,OE841369.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394156,OE839632.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394156,OE839239.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394156,OE002440.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394156,OE001716.1
JAILWY010000002.1.g857,1393352,1396865,JAILWY010000002.1,1394110,1394166,OC001486.1
JAILWY010000002.1.g884,2158654,2165836,JAILWY010000002.1,2160694,2160757,OC006852.1
JAILWY010000002.1.g884,2158654,2165836,JAILWY010000002.1,2160694,2160757,OA564307.1
JAILWY010000002.1.g908,2391595,2395754,JAILWY010000002.1,2395425,2395453,OE840412.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415441,2415529,KX778609.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415461,2415529,KX778609.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415533,OC316491.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415533,OD001252.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415533,OA565222.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415532,OE839102.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415529,OE839388.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415532,OB792732.1
JAILWY010000002.1.g911,2404514,2416261,JAILWY010000002.1,2415454,2415532,OB662234.1
JAILWY010000002.1.g1014,4661235,4687469,JAILWY010000002.1,4669781,4669808,OE002591.1
JAILWY010000002.1.g1014,4661235,4687469,JAILWY010000002.1,4681883,4681915,OE840930.1
JAILWY010000002.1.g1054,5006800,5007159,JAILWY010000002.1,5006851,5007105,OE000680.1
JAILWY010000002.1.g1054,5006800,5007159,JAILWY010000002.1,5006851,5007105,OE179460.1
JAILWY010000002.1.g1054,5006800,5007159,JAILWY010000002.1,5006851,5007105,OC000413.1
JAILWY010000002.1.g1054,5006800,5007159,JAILWY010000002.1,5006851,5007105,OD565144.1
JAILWY010000002.1.g1381,10119922,10132290,JAILWY010000002.1,10123504,10123566,OB792739.1
JAILWY010000002.1.g1384,10144074,10151991,JAILWY010000002.1,10147947,10147974,OD055124.1
JAILWY010000002.1.g1384,10144074,10151991,JAILWY010000002.1,10147947,10147974,OC006405.1
JAILWY010000002.1.g1415,10616113,10618412,JAILWY010000002.1,10616146,10616259,OE000114.1
JAILWY010000002.1.g1415,10616113,10618412,JAILWY010000002.1,10616143,10616259,OC317429.1
JAILWY010000002.1.g1415,10616113,10618412,JAILWY010000002.1,10616143,10616259,OB793348.1
JAILWY010000002.1.g1423,10695904,10697958,JAILWY010000002.1,10696324,10696497,LR899654.1
JAILWY010000002.1.g1423,10695904,10697958,JAILWY010000002.1,10696350,10696501,LR899720.1
JAILWY010000002.1.g1426,10760228,10766673,JAILWY010000002.1,10762831,10763027,GFAC01001584.1
JAILWY010000002.1.g1426,10760228,10766673,JAILWY010000002.1,10762266,10762412,GEDV01010183.1
JAILWY010000002.1.g1426,10760228,10766673,JAILWY010000002.1,10762266,10762412,GACK01006846.1
JAILWY010000002.1.g1482,12039899,12042818,JAILWY010000002.1,12041838,12041900,OD565305.1
JAILWY010000002.1.g1482,12039899,12042818,JAILWY010000002.1,12041838,12041900,OE003348.1
JAILWY010000002.1.g1522,12629379,12632393,JAILWY010000002.1,12631611,12631767,OE181988.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755296,12755343,OD568332.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755278,12755341,OD566034.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755296,12755340,OE001012.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755296,12755338,OE000961.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755278,12755352,OE839594.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755278,12755341,OE002708.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755279,12755343,OE001250.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755278,12755341,OD564269.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755278,12755343,OD564269.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755283,12755343,OE000768.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755296,12755341,OE000259.1
JAILWY010000002.1.g1546,12753097,12755472,JAILWY010000002.1,12755296,12755343,OD566137.1
JAILWY010000003.1.g1613,269402,275322,JAILWY010000003.1,273698,273870,OE840387.1
JAILWY010000003.1.g1613,269402,275322,JAILWY010000003.1,273698,273870,OA564786.1
JAILWY010000003.1.g1617,299399,309865,JAILWY010000003.1,309726,309753,OB792844.1
JAILWY010000003.1.g1617,299399,309865,JAILWY010000003.1,309726,309753,OC316825.1
JAILWY010000003.1.g1617,299399,309865,JAILWY010000003.1,309726,309753,OA569953.1
JAILWY010000003.1.g1756,2704104,2705294,JAILWY010000003.1,2704551,2704601,LR902162.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367769,3367835,OE000189.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367775,3367816,OD568332.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367775,3367816,OE001012.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367765,3367836,OE839594.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367775,3367850,OE001250.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367777,3367836,OD564269.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367775,3367836,OD564269.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367766,3367835,OE000768.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367777,3367816,OE000259.1
JAILWY010000003.1.g1769,3360975,3387947,JAILWY010000003.1,3367775,3367816,OD566137.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049752,OD565233.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049752,OB793762.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049752,OE000387.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049761,OE839469.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049752,OE841641.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049752,OC316819.1
JAILWY010000003.1.g1789,4047225,4062417,JAILWY010000003.1,4049725,4049752,OE000918.1
JAILWY010000003.1.g1806,4963516,4964624,JAILWY010000003.1,4964164,4964423,OC317337.1
JAILWY010000003.1.g1874,6587401,6594328,JAILWY010000003.1,6587824,6587910,HBDT01065721.1
JAILWY010000003.1.g1927,8765032,8771198,JAILWY010000003.1,8765611,8765730,MG613771.1
JAILWY010000003.1.g1927,8765032,8771198,JAILWY010000003.1,8765592,8765733,MG613742.1
JAILWY010000003.1.g1927,8765032,8771198,JAILWY010000003.1,8765611,8765730,MG613738.1
JAILWY010000003.1.g1927,8765032,8771198,JAILWY010000003.1,8766283,8766427,MG613720.1
JAILWY010000003.1.g1927,8765032,8771198,JAILWY010000003.1,8766283,8766384,MG613462.1
JAILWY010000003.1.g1980,10745950,10757936,JAILWY010000003.1,10754995,10755118,GFJQ02001608.1
JAILWY010000003.1.g1980,10745950,10757936,JAILWY010000003.1,10754995,10755118,GFJQ02003243.1
JAILWY010000003.1.g1980,10745950,10757936,JAILWY010000003.1,10756034,10756172,GEDV01008621.1
JAILWY010000003.1.g1980,10745950,10757936,JAILWY010000003.1,10756034,10756172,GEDV01008622.1
JAILWY010000003.1.g1983,10810645,10812842,JAILWY010000003.1,10810691,10810764,GAIX01011126.1
JAILWY010000003.1.g2022,11913660,11917944,JAILWY010000003.1,11913804,11913844,GFAC01000924.1
JAILWY010000003.1.g2050,12045737,12050183,JAILWY010000003.1,12047261,12047294,OC316608.1
JAILWY010000003.1.g2050,12045737,12050183,JAILWY010000003.1,12047260,12047309,OE840635.1
JAILWY010000003.1.g2050,12045737,12050183,JAILWY010000003.1,12047268,12047309,OE839157.1
JAILWY010000003.1.g2062,12122769,12125969,JAILWY010000003.1,12123909,12125251,OC915049.1
JAILWY010000003.1.g2146,13972475,13984097,JAILWY010000003.1,13973439,13973478,KJ523358.1
JAILWY010000003.1.g2157,14078037,14080886,JAILWY010000003.1,14078941,14079763,OC914942.1
JAILWY010000003.1.g2157,14078037,14080886,JAILWY010000003.1,14078937,14079343,OC914942.1
JAILWY010000003.1.g2157,14078037,14080886,JAILWY010000003.1,14079824,14079851,OB792806.1
JAILWY010000003.1.g2157,14078037,14080886,JAILWY010000003.1,14079900,14079927,OA569412.1
JAILWY010000003.1.g2157,14078037,14080886,JAILWY010000003.1,14078938,14079760,OB792679.1
JAILWY010000004.1.g2253,1845980,1861316,JAILWY010000004.1,1857283,1857329,OB792739.1
JAILWY010000004.1.g2253,1845980,1861316,JAILWY010000004.1,1857250,1857328,OC317036.1
JAILWY010000004.1.g2264,2097776,2109430,JAILWY010000004.1,2101374,2101619,OC316899.1
JAILWY010000004.1.g2270,2429982,2433782,JAILWY010000004.1,2433603,2433701,OA882152.1
JAILWY010000004.1.g2283,2546309,2550518,JAILWY010000004.1,2550339,2550442,FE271111.1
JAILWY010000004.1.g2311,3002490,3012854,JAILWY010000004.1,3002838,3002967,OA565874.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345325,3345371,OE839154.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3342207,3342385,OC002060.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3344728,3344787,OC002060.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345325,3345371,OD565305.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3342207,3342383,OC317525.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3342207,3342383,OB793764.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345325,3345371,OE003348.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3342207,3342350,OE000832.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3344725,3344787,OE000832.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345320,3345371,OD564410.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345320,3345371,OE839469.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345321,3345371,OE839469.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345320,3345371,OE000494.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345322,3345376,OE004120.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345332,3345372,OD567647.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345322,3345376,OD567297.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3345332,3345372,OE002375.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3342207,3342385,OA566223.1
JAILWY010000004.1.g2331,3341156,3348316,JAILWY010000004.1,3344728,3344787,OA566223.1
JAILWY010000004.1.g2382,4368933,4387739,JAILWY010000004.1,4385532,4385577,OC317525.1
JAILWY010000004.1.g2382,4368933,4387739,JAILWY010000004.1,4385532,4385577,OB793764.1
JAILWY010000004.1.g2386,4422424,4428884,JAILWY010000004.1,4428808,4428842,GFAC01003733.1
JAILWY010000004.1.g2417,4932879,4939294,JAILWY010000004.1,4938671,4938873,GEFH01004205.1
JAILWY010000004.1.g2431,5147214,5148710,JAILWY010000004.1,5147337,5148125,AF006640.1
JAILWY010000004.1.g2431,5147214,5148710,JAILWY010000004.1,5147517,5148023,BG634942.1
JAILWY010000004.1.g2431,5147214,5148710,JAILWY010000004.1,5147750,5147918,BF485765.2
JAILWY010000004.1.g2433,5189170,5190387,JAILWY010000004.1,5189365,5190051,GDHC01002756.1
JAILWY010000004.1.g2433,5189170,5190387,JAILWY010000004.1,5189365,5190051,GDHC01005531.1
JAILWY010000004.1.g2433,5189170,5190387,JAILWY010000004.1,5189365,5190051,GBHO01038287.1
JAILWY010000004.1.g2433,5189170,5190387,JAILWY010000004.1,5189365,5190051,GBHO01038288.1
JAILWY010000004.1.g2433,5189170,5190387,JAILWY010000004.1,5189365,5190051,GBHO01038289.1
JAILWY010000004.1.g2433,5189170,5190387,JAILWY010000004.1,5189365,5190051,GBHO01038291.1
JAILWY010000004.1.g2492,6378943,6383563,JAILWY010000004.1,6382581,6382622,OA564468.1
JAILWY010000004.1.g2492,6378943,6383563,JAILWY010000004.1,6382595,6382622,OE179768.1
JAILWY010000004.1.g2492,6378943,6383563,JAILWY010000004.1,6382600,6382627,OA882071.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7390780,7391122,CV526447.2
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7390903,7391130,OE839469.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7390903,7391130,OB793280.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7391398,7391636,OB793280.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7391245,7392024,MK577498.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7390894,7391127,MK577498.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7390780,7391130,MN004960.1
JAILWY010000004.1.g2538,7390780,7392024,JAILWY010000004.1,7391358,7391817,DQ679837.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,XM_032924673.2
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,XM_045171006.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,KY609724.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,KY563847.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627388,8627513,GFAA01000510.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627336,8627513,GFAC01004648.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627388,8627513,GBBK01003365.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627353,8627477,IACW01034475.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627353,8627477,IACW01034476.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627958,8628214,IACW01040733.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627046,8627104,LR901140.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01037062.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01058314.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIP01019759.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIP01042802.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIP01049854.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIP01107205.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIP01107206.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01135993.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01183918.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01221360.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01221361.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01259168.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01264054.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627049,8627088,GDIQ01264055.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8628072,8628243,LR900560.1
JAILWY010000004.1.g2615,8626165,8630329,JAILWY010000004.1,8627404,8627501,AY769965.1
JAILWY010000004.1.g2627,8681749,8686987,JAILWY010000004.1,8684960,8685331,KC469893.2
JAILWY010000004.1.g2627,8681749,8686987,JAILWY010000004.1,8684972,8685331,FP102339.6
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330864,9330933,OA564394.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330890,9330933,OE179383.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330864,9330932,OD565523.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330890,9330933,OC000128.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330864,9330932,OA565564.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330892,9330932,OC317036.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330890,9330932,OC316498.1
JAILWY010000004.1.g2664,9329077,9332553,JAILWY010000004.1,9330890,9330934,OD566137.1
JAILWY010000004.1.g2673,9385749,9387941,JAILWY010000004.1,9386877,9386914,OE839131.1
JAILWY010000004.1.g2673,9385749,9387941,JAILWY010000004.1,9386877,9386914,OB792783.1
JAILWY010000004.1.g2673,9385749,9387941,JAILWY010000004.1,9386877,9386914,OE000936.1
JAILWY010000004.1.g2673,9385749,9387941,JAILWY010000004.1,9386877,9386914,OA564296.1
JAILWY010000004.1.g2692,9576219,9586043,JAILWY010000004.1,9582505,9582536,OE839154.1
JAILWY010000004.1.g2692,9576219,9586043,JAILWY010000004.1,9584146,9584173,GFTR01008329.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894596,9894669,OE000189.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894609,9894650,OD568332.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894591,9894650,OE001012.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894597,9894670,OE839594.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894611,9894670,OD564269.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894609,9894670,OD564269.1
JAILWY010000004.1.g2710,9892520,9896396,JAILWY010000004.1,9894611,9894650,OE000259.1
JAILWY010000004.1.g2724,10075815,10081223,JAILWY010000004.1,10076652,10076700,OB792638.1
JAILWY010000004.1.g2733,10189521,10191387,JAILWY010000004.1,10190563,10190601,OE003165.1
JAILWY010000004.1.g2733,10189521,10191387,JAILWY010000004.1,10190563,10190601,OD567425.1
JAILWY010000004.1.g2853,11916049,11926288,JAILWY010000004.1,11921165,11921192,OC317851.1
JAILWY010000004.1.g2897,12496883,12511869,JAILWY010000004.1,12499920,12500074,OC002060.1
JAILWY010000004.1.g2897,12496883,12511869,JAILWY010000004.1,12499920,12500074,OC317525.1
JAILWY010000004.1.g2897,12496883,12511869,JAILWY010000004.1,12499920,12500074,OB793764.1
JAILWY010000004.1.g2897,12496883,12511869,JAILWY010000004.1,12499920,12500074,OE000832.1
JAILWY010000004.1.g2897,12496883,12511869,JAILWY010000004.1,12499920,12500074,OD565530.1
JAILWY010000004.1.g2897,12496883,12511869,JAILWY010000004.1,12499920,12500074,OA566223.1
JAILWY010000004.1.g2899,12520889,12526571,JAILWY010000004.1,12522142,12522169,OC316565.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87388,87425,OE000189.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87384,87425,OD568332.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87388,87425,OD566034.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87388,87425,OE002708.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87384,87425,OE001250.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87388,87442,OD564269.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87384,87425,OD564269.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87384,87425,OE000768.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87388,87425,OE000259.1
JAILWY010000005.1.g2943,85538,94904,JAILWY010000005.1,87384,87425,OD566137.1
JAILWY010000005.1.g2959,198773,201392,JAILWY010000005.1,200433,200476,OC317057.1
