,Chromosome,Source,Feature,Start,End,Score,Strand,Frame,Attribute
1221,JAILWY010000001.1,AUGUSTUS,gene,2224255,2234489,0.09,+,.,JAILWY010000001.1.g116
1262,JAILWY010000001.1,AUGUSTUS,gene,2250512,2265676,0.2,-,.,JAILWY010000001.1.g117
1303,JAILWY010000001.1,AUGUSTUS,gene,2279507,2280844,1,-,.,JAILWY010000001.1.g118
1308,JAILWY010000001.1,AUGUSTUS,gene,2361029,2361409,0.43,+,.,JAILWY010000001.1.g119
1313,JAILWY010000001.1,AUGUSTUS,gene,2365857,2368310,0.49,+,.,JAILWY010000001.1.g120
1322,JAILWY010000001.1,AUGUSTUS,gene,2371540,2378016,0.31,-,.,JAILWY010000001.1.g121
1359,JAILWY010000001.1,AUGUSTUS,gene,2378340,2383656,0.53,+,.,JAILWY010000001.1.g122
1374,JAILWY010000001.1,AUGUSTUS,gene,2394655,2398157,0.2,+,.,JAILWY010000001.1.g123
1391,JAILWY010000001.1,AUGUSTUS,gene,2403941,2412607,0.9,-,.,JAILWY010000001.1.g124
1400,JAILWY010000001.1,AUGUSTUS,gene,2419445,2423361,0.54,-,.,JAILWY010000001.1.g125
1407,JAILWY010000001.1,AUGUSTUS,gene,2478321,2478569,0.55,-,.,JAILWY010000001.1.g126
1412,JAILWY010000001.1,AUGUSTUS,gene,2508905,2509519,0.99,-,.,JAILWY010000001.1.g127
1417,JAILWY010000001.1,AUGUSTUS,gene,2516165,2516557,0.5,-,.,JAILWY010000001.1.g128
1422,JAILWY010000001.1,AUGUSTUS,gene,2526964,2527302,0.68,-,.,JAILWY010000001.1.g129
1427,JAILWY010000001.1,AUGUSTUS,gene,2538086,2538412,0.78,-,.,JAILWY010000001.1.g130
1432,JAILWY010000001.1,AUGUSTUS,gene,2578034,2580698,0.78,-,.,JAILWY010000001.1.g131
1439,JAILWY010000001.1,AUGUSTUS,gene,2656912,2662182,0.16,-,.,JAILWY010000001.1.g132
1448,JAILWY010000001.1,AUGUSTUS,gene,2672131,2677871,1,-,.,JAILWY010000001.1.g133
1473,JAILWY010000001.1,AUGUSTUS,gene,2681756,2682455,0.24,+,.,JAILWY010000001.1.g134
1480,JAILWY010000001.1,AUGUSTUS,gene,2684105,2684440,1,-,.,JAILWY010000001.1.g135
1485,JAILWY010000001.1,AUGUSTUS,gene,2691449,2694490,0.2,+,.,JAILWY010000001.1.g136
1492,JAILWY010000001.1,AUGUSTUS,gene,2707798,2708688,0.79,+,.,JAILWY010000001.1.g137
1501,JAILWY010000001.1,AUGUSTUS,gene,2714295,2716309,0.87,-,.,JAILWY010000001.1.g138
1512,JAILWY010000001.1,AUGUSTUS,gene,2721712,2733506,0.05,+,.,JAILWY010000001.1.g139
1533,JAILWY010000001.1,AUGUSTUS,gene,2735414,2738339,1,-,.,JAILWY010000001.1.g140
1550,JAILWY010000001.1,AUGUSTUS,gene,2740250,2741102,0.46,+,.,JAILWY010000001.1.g141
1557,JAILWY010000001.1,AUGUSTUS,gene,2744231,2744754,0.56,-,.,JAILWY010000001.1.g142
1564,JAILWY010000001.1,AUGUSTUS,gene,2745633,2748556,0.27,+,.,JAILWY010000001.1.g143
1585,JAILWY010000001.1,AUGUSTUS,gene,2751730,2762234,0.63,-,.,JAILWY010000001.1.g144
1626,JAILWY010000001.1,AUGUSTUS,gene,2763509,2764524,0.99,+,.,JAILWY010000001.1.g145
1635,JAILWY010000001.1,AUGUSTUS,gene,2765809,2775644,0.31,-,.,JAILWY010000001.1.g146
1656,JAILWY010000001.1,AUGUSTUS,gene,2781075,2783824,0.98,-,.,JAILWY010000001.1.g147
1673,JAILWY010000001.1,AUGUSTUS,gene,2789333,2797310,0.53,-,.,JAILWY010000001.1.g148
1680,JAILWY010000001.1,AUGUSTUS,gene,2829706,2829906,0.95,+,.,JAILWY010000001.1.g149
1685,JAILWY010000001.1,AUGUSTUS,gene,2864792,2865094,0.48,+,.,JAILWY010000001.1.g150
1690,JAILWY010000001.1,AUGUSTUS,gene,2881173,2881481,0.98,+,.,JAILWY010000001.1.g151
1695,JAILWY010000001.1,AUGUSTUS,gene,2941006,2942935,0.81,+,.,JAILWY010000001.1.g152
1704,JAILWY010000001.1,AUGUSTUS,gene,2946567,2954685,0.65,+,.,JAILWY010000001.1.g153
1737,JAILWY010000001.1,AUGUSTUS,gene,2957594,2958599,0.6,+,.,JAILWY010000001.1.g154
1746,JAILWY010000001.1,AUGUSTUS,gene,2959281,2970828,0.42,-,.,JAILWY010000001.1.g155
1775,JAILWY010000001.1,AUGUSTUS,gene,3017375,3021300,0.36,+,.,JAILWY010000001.1.g156
1790,JAILWY010000001.1,AUGUSTUS,gene,3021810,3023255,1,-,.,JAILWY010000001.1.g157
1799,JAILWY010000001.1,AUGUSTUS,gene,3023546,3027835,0.17,+,.,JAILWY010000001.1.g158
1818,JAILWY010000001.1,AUGUSTUS,gene,3029281,3029508,0.72,-,.,JAILWY010000001.1.g159
1823,JAILWY010000001.1,AUGUSTUS,gene,3189989,3191656,0.88,-,.,JAILWY010000001.1.g160
1830,JAILWY010000001.1,AUGUSTUS,gene,3279024,3279233,0.57,-,.,JAILWY010000001.1.g161
1835,JAILWY010000001.1,AUGUSTUS,gene,3294597,3294860,0.75,+,.,JAILWY010000001.1.g162
1840,JAILWY010000001.1,AUGUSTUS,gene,3315939,3316190,0.45,-,.,JAILWY010000001.1.g163
1845,JAILWY010000001.1,AUGUSTUS,gene,3392954,3409268,0.37,+,.,JAILWY010000001.1.g164
1870,JAILWY010000001.1,AUGUSTUS,gene,3413490,3418455,0.98,-,.,JAILWY010000001.1.g165
1893,JAILWY010000001.1,AUGUSTUS,gene,3419165,3427933,0.45,+,.,JAILWY010000001.1.g166
1942,JAILWY010000001.1,AUGUSTUS,gene,3434033,3434302,0.83,+,.,JAILWY010000001.1.g167
1947,JAILWY010000001.1,AUGUSTUS,gene,3446101,3451461,0.98,+,.,JAILWY010000001.1.g168
1952,JAILWY010000001.1,AUGUSTUS,gene,3452645,3474846,0.01,+,.,JAILWY010000001.1.g169
2055,JAILWY010000001.1,AUGUSTUS,gene,3487303,3489807,0.37,-,.,JAILWY010000001.1.g170
2062,JAILWY010000001.1,AUGUSTUS,gene,3490158,3497765,0.13,-,.,JAILWY010000001.1.g171
2085,JAILWY010000001.1,AUGUSTUS,gene,3508158,3508418,1,+,.,JAILWY010000001.1.g172
2090,JAILWY010000001.1,AUGUSTUS,gene,3511508,3512608,0.94,-,.,JAILWY010000001.1.g173
2101,JAILWY010000001.1,AUGUSTUS,gene,3515070,3520563,0.44,-,.,JAILWY010000001.1.g174
2116,JAILWY010000001.1,AUGUSTUS,gene,3521699,3523264,0.94,+,.,JAILWY010000001.1.g175
2123,JAILWY010000001.1,AUGUSTUS,gene,3526561,3533868,0.33,+,.,JAILWY010000001.1.g176
2156,JAILWY010000001.1,AUGUSTUS,gene,3535453,3538007,0.27,-,.,JAILWY010000001.1.g177
2169,JAILWY010000001.1,AUGUSTUS,gene,3539730,3543974,0.09,-,.,JAILWY010000001.1.g178
2184,JAILWY010000001.1,AUGUSTUS,gene,3562916,3567835,0.14,-,.,JAILWY010000001.1.g179
2195,JAILWY010000001.1,AUGUSTUS,gene,3569075,3571767,1,+,.,JAILWY010000001.1.g180
2204,JAILWY010000001.1,AUGUSTUS,gene,3608683,3610344,0.45,-,.,JAILWY010000001.1.g181
2211,JAILWY010000001.1,AUGUSTUS,gene,3612054,3623748,0.25,-,.,JAILWY010000001.1.g182
2232,JAILWY010000001.1,AUGUSTUS,gene,3633231,3646412,0.22,-,.,JAILWY010000001.1.g183
2247,JAILWY010000001.1,AUGUSTUS,gene,3664127,3665452,0.68,+,.,JAILWY010000001.1.g184
2252,JAILWY010000001.1,AUGUSTUS,gene,3665693,3669270,0.38,-,.,JAILWY010000001.1.g185
2261,JAILWY010000001.1,AUGUSTUS,gene,3672646,3675590,0.42,+,.,JAILWY010000001.1.g186
2276,JAILWY010000001.1,AUGUSTUS,gene,3676474,3680543,0.43,-,.,JAILWY010000001.1.g187
2301,JAILWY010000001.1,AUGUSTUS,gene,3688817,3690505,1,+,.,JAILWY010000001.1.g188
2306,JAILWY010000001.1,AUGUSTUS,gene,3693404,3718327,0.31,-,.,JAILWY010000001.1.g189
2361,JAILWY010000001.1,AUGUSTUS,gene,3770268,3772178,1,+,.,JAILWY010000001.1.g190
2366,JAILWY010000001.1,AUGUSTUS,gene,3774390,3786083,0.03,-,.,JAILWY010000001.1.g191
2401,JAILWY010000001.1,AUGUSTUS,gene,3790339,3792431,0.69,+,.,JAILWY010000001.1.g192
2408,JAILWY010000001.1,AUGUSTUS,gene,3802917,3813803,0.46,+,.,JAILWY010000001.1.g193
2441,JAILWY010000001.1,AUGUSTUS,gene,3818677,3821684,0.59,-,.,JAILWY010000001.1.g194
2450,JAILWY010000001.1,AUGUSTUS,gene,3824887,3825279,0.38,+,.,JAILWY010000001.1.g195
2455,JAILWY010000001.1,AUGUSTUS,gene,3835639,3835926,0.92,+,.,JAILWY010000001.1.g196
2460,JAILWY010000001.1,AUGUSTUS,gene,3840577,3845510,0.41,-,.,JAILWY010000001.1.g197
2467,JAILWY010000001.1,AUGUSTUS,gene,3857700,3858288,0.98,-,.,JAILWY010000001.1.g198
2474,JAILWY010000001.1,AUGUSTUS,gene,3912880,3913134,0.53,-,.,JAILWY010000001.1.g199
2479,JAILWY010000001.1,AUGUSTUS,gene,3921498,3921698,0.66,+,.,JAILWY010000001.1.g200
2484,JAILWY010000001.1,AUGUSTUS,gene,3928835,3929065,0.94,+,.,JAILWY010000001.1.g201
2489,JAILWY010000001.1,AUGUSTUS,gene,3996735,3999285,0.29,+,.,JAILWY010000001.1.g202
2496,JAILWY010000001.1,AUGUSTUS,gene,4020924,4026813,0.24,-,.,JAILWY010000001.1.g203
2513,JAILWY010000001.1,AUGUSTUS,gene,4029303,4034047,0.6,-,.,JAILWY010000001.1.g204
2530,JAILWY010000001.1,AUGUSTUS,gene,4036121,4036396,0.31,+,.,JAILWY010000001.1.g205
2535,JAILWY010000001.1,AUGUSTUS,gene,4038515,4038814,0.23,+,.,JAILWY010000001.1.g206
2540,JAILWY010000001.1,AUGUSTUS,gene,4074282,4074518,0.7,+,.,JAILWY010000001.1.g207
2545,JAILWY010000001.1,AUGUSTUS,gene,4103170,4103397,0.64,+,.,JAILWY010000001.1.g208
2550,JAILWY010000001.1,AUGUSTUS,gene,4116357,4116584,0.7,+,.,JAILWY010000001.1.g209
2555,JAILWY010000001.1,AUGUSTUS,gene,4134439,4140432,0.4,-,.,JAILWY010000001.1.g210
2562,JAILWY010000001.1,AUGUSTUS,gene,4167279,4168609,0.38,-,.,JAILWY010000001.1.g211
2569,JAILWY010000001.1,AUGUSTUS,gene,4175991,4184244,0.61,-,.,JAILWY010000001.1.g212
2580,JAILWY010000001.1,AUGUSTUS,gene,4200267,4201322,0.93,-,.,JAILWY010000001.1.g213
2585,JAILWY010000001.1,AUGUSTUS,gene,4205288,4206592,0.48,+,.,JAILWY010000001.1.g214
2594,JAILWY010000001.1,AUGUSTUS,gene,4223514,4223741,0.7,+,.,JAILWY010000001.1.g215
2599,JAILWY010000001.1,AUGUSTUS,gene,4224942,4229384,0.5,-,.,JAILWY010000001.1.g216
2630,JAILWY010000001.1,AUGUSTUS,gene,4230146,4235660,0.36,+,.,JAILWY010000001.1.g217
2657,JAILWY010000001.1,AUGUSTUS,gene,4247954,4249874,0.89,-,.,JAILWY010000001.1.g218
2664,JAILWY010000001.1,AUGUSTUS,gene,4257679,4258654,0.62,+,.,JAILWY010000001.1.g219
2671,JAILWY010000001.1,AUGUSTUS,gene,4268207,4268560,0.5,+,.,JAILWY010000001.1.g220
2676,JAILWY010000001.1,AUGUSTUS,gene,4286081,4299897,0.08,+,.,JAILWY010000001.1.g221
2685,JAILWY010000001.1,AUGUSTUS,gene,4312059,4312661,0.62,-,.,JAILWY010000001.1.g222
2690,JAILWY010000001.1,AUGUSTUS,gene,4314154,4317695,0.35,-,.,JAILWY010000001.1.g223
2699,JAILWY010000001.1,AUGUSTUS,gene,4319456,4320428,0.63,-,.,JAILWY010000001.1.g224
2706,JAILWY010000001.1,AUGUSTUS,gene,4332966,4335386,0.66,-,.,JAILWY010000001.1.g225
2713,JAILWY010000001.1,AUGUSTUS,gene,4346518,4346757,0.97,-,.,JAILWY010000001.1.g226
2718,JAILWY010000001.1,AUGUSTUS,gene,4349575,4350902,0.93,+,.,JAILWY010000001.1.g227
2725,JAILWY010000001.1,AUGUSTUS,gene,4365548,4366060,0.52,-,.,JAILWY010000001.1.g228
2730,JAILWY010000001.1,AUGUSTUS,gene,4366237,4366560,0.74,-,.,JAILWY010000001.1.g229
2735,JAILWY010000001.1,AUGUSTUS,gene,4368173,4368865,1,+,.,JAILWY010000001.1.g230
2740,JAILWY010000001.1,AUGUSTUS,gene,4379047,4379337,0.65,-,.,JAILWY010000001.1.g231
2745,JAILWY010000001.1,AUGUSTUS,gene,4384165,4385651,0.54,+,.,JAILWY010000001.1.g232
2754,JAILWY010000001.1,AUGUSTUS,gene,4390990,4391582,0.21,+,.,JAILWY010000001.1.g233
2761,JAILWY010000001.1,AUGUSTUS,gene,4399232,4399579,0.98,-,.,JAILWY010000001.1.g234
2766,JAILWY010000001.1,AUGUSTUS,gene,4406015,4409314,0.89,-,.,JAILWY010000001.1.g235
2777,JAILWY010000001.1,AUGUSTUS,gene,4409957,4423267,0.7,+,.,JAILWY010000001.1.g236
2806,JAILWY010000001.1,AUGUSTUS,gene,4431732,4434014,0.13,-,.,JAILWY010000001.1.g237
2823,JAILWY010000001.1,AUGUSTUS,gene,4434561,4436469,0.63,+,.,JAILWY010000001.1.g238
2832,JAILWY010000001.1,AUGUSTUS,gene,4436751,4443378,0.23,-,.,JAILWY010000001.1.g239
2853,JAILWY010000001.1,AUGUSTUS,gene,4446416,4448735,0.68,-,.,JAILWY010000001.1.g240
2866,JAILWY010000001.1,AUGUSTUS,gene,4453188,4460663,0.65,-,.,JAILWY010000001.1.g241
2889,JAILWY010000001.1,AUGUSTUS,gene,4462119,4465166,0.61,-,.,JAILWY010000001.1.g242
2900,JAILWY010000001.1,AUGUSTUS,gene,4465414,4465854,0.59,-,.,JAILWY010000001.1.g243
2905,JAILWY010000001.1,AUGUSTUS,gene,4485591,4485917,0.8,-,.,JAILWY010000001.1.g244
2910,JAILWY010000001.1,AUGUSTUS,gene,4537462,4537848,0.97,+,.,JAILWY010000001.1.g245
2915,JAILWY010000001.1,AUGUSTUS,gene,4543427,4550508,0.25,-,.,JAILWY010000001.1.g246
2926,JAILWY010000001.1,AUGUSTUS,gene,4550538,4550930,0.55,-,.,JAILWY010000001.1.g247
2931,JAILWY010000001.1,AUGUSTUS,gene,4550960,4557418,0.43,-,.,JAILWY010000001.1.g248
2940,JAILWY010000001.1,AUGUSTUS,gene,4563863,4574675,0.38,-,.,JAILWY010000001.1.g249
2951,JAILWY010000001.1,AUGUSTUS,gene,4587454,4588317,0.6,-,.,JAILWY010000001.1.g250
2958,JAILWY010000001.1,AUGUSTUS,gene,4627297,4627524,0.91,-,.,JAILWY010000001.1.g251
2963,JAILWY010000001.1,AUGUSTUS,gene,4628074,4628274,0.78,+,.,JAILWY010000001.1.g252
2968,JAILWY010000001.1,AUGUSTUS,gene,4636075,4637607,0.35,+,.,JAILWY010000001.1.g253
